Takara,1
BD,1
Difco,1
deviation,1
represent,1
antisense,1
dynamic,1
atmosphere,1
specie,1
not,2
supplement,2
Fig,1
nitrogen,1
coli,13
productivity,3
ampicillin,1
Final,1
redirect,1
cell,1
volumetric,3
μg/ml,2
Scientific,1
NRRL,2
appropriate,1
technique,1
conduct,1
improvement,2
transferase,1
enzyme,3
production,1
indicate,2
acetone,6
total,1
Using,1
include,1
alter,1
do,2
assay,1
Gnt,1
incubation,3
Maximum,3
introduce,1
test,1
THL,1
metabolically,1
B593,2
g/,1
mmol·l,3
condition,6
secondary,1
molar,2
Bertani,2
metabolite,1
Saitama,1
harbor,1
decarboxylase,1
list,1
l,1
Acetate,1
consisting,1
specific,1
flux,2
activity,1
further,2
h.,1
acetoacetate,1
accumulation,2
mean,1
A,1
500-ml,1
KTS622IG,1
triplicate,1
cultivation,4
bioreactor,1
shake,2
reduce,1
biomass,2
beijerinckii,2
Titers,2
relative,1
culture,10
rate,1
growth,1
yield,5
exogenously,1
fed-batch,3
pH,1
centrifugation,1
E.,14
alcohol,1
aerobic,2
tube,1
valve,1
increase,3
inoculate,2
experiment,1
U/mg,1
clostridial,3
sixfold,1
Glucose,3
Escherichia,3
·h,3
be,34
acetone-producing,1
solvent,2
slight,1
respectively,3
contain,1
KTS022IG,1
NJ,1
Strains,2
step,1
colipCRC202,2
ATCC,1
colipCRC200,1
demonstrate,1
acetobutylicum,2
glycolytic,1
[,5
[,5
change,1
dehydrogenase,1
baffled,2
c,1
central,1
isopropanol,16
RNA,1
basis,1
gluconate,2
Strain,1
range,1
resulting,1
cod,1
circuit,1
glucokinase,1
gene,5
slightly,1
reinforced,1
major,1
JM109,2
consume,1
al,2
thiolase,1
primary,1
et,2
mol/mol,4
KTS822IG,1
inverting,1
directly,1
carbon,3
Luria,2
Standard,1
rpm,1
manipulate,1
engineer,6
use,2
Bermejo,2
C.,3
consumption,2
utilization,1
CTF,1
ND,1
Antibiotics,1
construct,1
grow,2
OD600,2
extraction,1
reduction,2
intermediate,1
Fermentation,1
h,1
encode,2
translate,1
Data,1
final,1
glucose,7
medium,5
mM,8
36-h,2
24-h,1
Normalizing,1
detect,3
manipulation,1
harvest,1
present,1
isopropanol-producing,1
b,1
Inducing,1
Luli,1
up,2
value,3
metabolism,1
incubator,1
Culture,1
express,1
actively,1
plasmid,2
ml,2
Instruments,1
following,1
wastage,1
Estimated,1
coli-pCRC200,1
study,4
fermentation,1
result,1
control,5
USA,1
agitation,1
low,1
broth,4
Tasaki,1
SD8,1
chloramphenicol,1
acetate,4
high,1
strain,4
coenzyme,1
Production,1
pCRC202,1
KTS922IG,1
inverter,1
concentration,4
titer,3
hydrogen,1
anaerobic,1
Shiga,1
grown,1
CoA,1
Acetone-producing,1
incubate,1
%,14
min,1
Clostridium,2
able,1
clearly,1
complex,1
DSM6423,1
genome,1
genetically,2
pathway,1
node,1
g/L,5
product,1
Glk,2
Isopropanol,1
Strohl,1
produce,4
propagate,1
Japan,2
LB,3
],5
Glu,4
occasionally,2
g/l,4
synonym,1
recombination,1
average,1
overnight,1
daily,1
48-h,1
aTc,1
more,1
maintain,1
negligible,1
flask,4
0.3,1
Table,1
uninduced,1
ADC,1
